aprendizajeA.txt: 
Numero de documentos del corpus: 652
Numero de palabras del corpus: 9493
Palabra: & Frec: 64 LogProb: -5.3536065130283115
Palabra: &lt Frec: 4 LogProb: -7.918555870489848
Palabra: <unk> Frec: 0 LogProb: -9.527993782923948
Palabra: aa Frec: 0 LogProb: -9.527993782923948
Palabra: aacr Frec: 2 LogProb: -8.42938149425584
Palabra: aaron Frec: 0 LogProb: -9.527993782923948
Palabra: abandoned Frec: 2 LogProb: -8.42938149425584
Palabra: ability Frec: 1 LogProb: -8.834846602364003
Palabra: able Frec: 0 LogProb: -9.527993782923948
Palabra: about Frec: 56 LogProb: -5.484942515089398
Palabra: above Frec: 0 LogProb: -9.527993782923948
Palabra: absolutely Frec: 0 LogProb: -9.527993782923948
Palabra: abt Frec: 1 LogProb: -8.834846602364003
Palabra: academic Frec: 0 LogProb: -9.527993782923948
Palabra: academics Frec: 0 LogProb: -9.527993782923948
Palabra: academies Frec: 0 LogProb: -9.527993782923948
Palabra: accelerate Frec: 1 LogProb: -8.834846602364003
Palabra: accelerator Frec: 0 LogProb: -9.527993782923948
Palabra: accept Frec: 0 LogProb: -9.527993782923948
Palabra: accepted Frec: 1 LogProb: -8.834846602364003
Palabra: access Frec: 7 LogProb: -7.448552241244112
Palabra: accidents Frec: 0 LogProb: -9.527993782923948
Palabra: accolades Frec: 0 LogProb: -9.527993782923948
Palabra: accord Frec: 0 LogProb: -9.527993782923948
Palabra: according Frec: 3 LogProb: -8.141699421804057
Palabra: accounted Frec: 0 LogProb: -9.527993782923948
Palabra: accounts Frec: 0 LogProb: -9.527993782923948
Palabra: accreditation Frec: 1 LogProb: -8.834846602364003
Palabra: accredited Frec: 0 LogProb: -9.527993782923948
Palabra: accused Frec: 0 LogProb: -9.527993782923948
Palabra: achieve Frec: 3 LogProb: -8.141699421804057
Palabra: achieved Frec: 1 LogProb: -8.834846602364003
Palabra: achievement Frec: 0 LogProb: -9.527993782923948
Palabra: acquire Frec: 0 LogProb: -9.527993782923948
Palabra: acquires Frec: 0 LogProb: -9.527993782923948
Palabra: acquisition Frec: 0 LogProb: -9.527993782923948
Palabra: across Frec: 2 LogProb: -8.42938149425584
Palabra: act Frec: 0 LogProb: -9.527993782923948
Palabra: acting Frec: 0 LogProb: -9.527993782923948
Palabra: action Frec: 13 LogProb: -6.888936453308689
Palabra: actions Frec: 1 LogProb: -8.834846602364003
Palabra: active Frec: 1 LogProb: -8.834846602364003
Palabra: activia Frec: 0 LogProb: -9.527993782923948
Palabra: activida Frec: 0 LogProb: -9.527993782923948
Palabra: activism Frec: 0 LogProb: -9.527993782923948
Palabra: activities Frec: 1 LogProb: -8.834846602364003
Palabra: activity Frec: 3 LogProb: -8.141699421804057
Palabra: actually Frec: 1 LogProb: -8.834846602364003
Palabra: ad Frec: 1 LogProb: -8.834846602364003
Palabra: adam Frec: 3 LogProb: -8.141699421804057
Palabra: add Frec: 0 LogProb: -9.527993782923948
Palabra: added Frec: 0 LogProb: -9.527993782923948
Palabra: address Frec: 6 LogProb: -7.582083633868635
Palabra: addressing Frec: 3 LogProb: -8.141699421804057
Palabra: adds Frec: 0 LogProb: -9.527993782923948
Palabra: adele Frec: 0 LogProb: -9.527993782923948
