aprendizajeD.txt: 
Numero de documentos del corpus: 205
Numero de palabras del corpus: 2127
Palabra: & Frec: 4 LogProb: -7.1503876828801936
Palabra: &lt Frec: 0 LogProb: -8.759825595314293
Palabra: <unk> Frec: 0 LogProb: -8.759825595314293
Palabra: aa Frec: 1 LogProb: -8.06667841475435
Palabra: aacr Frec: 0 LogProb: -8.759825595314293
Palabra: aaron Frec: 0 LogProb: -8.759825595314293
Palabra: abandoned Frec: 0 LogProb: -8.759825595314293
Palabra: ability Frec: 0 LogProb: -8.759825595314293
Palabra: able Frec: 0 LogProb: -8.759825595314293
Palabra: about Frec: 5 LogProb: -6.9680661260862395
Palabra: above Frec: 0 LogProb: -8.759825595314293
Palabra: absolutely Frec: 0 LogProb: -8.759825595314293
Palabra: abt Frec: 0 LogProb: -8.759825595314293
Palabra: academic Frec: 0 LogProb: -8.759825595314293
Palabra: academics Frec: 0 LogProb: -8.759825595314293
Palabra: academies Frec: 0 LogProb: -8.759825595314293
Palabra: accelerate Frec: 0 LogProb: -8.759825595314293
Palabra: accelerator Frec: 0 LogProb: -8.759825595314293
Palabra: accept Frec: 0 LogProb: -8.759825595314293
Palabra: accepted Frec: 0 LogProb: -8.759825595314293
Palabra: access Frec: 6 LogProb: -6.813915446258981
Palabra: accidents Frec: 0 LogProb: -8.759825595314293
Palabra: accolades Frec: 0 LogProb: -8.759825595314293
Palabra: accord Frec: 0 LogProb: -8.759825595314293
Palabra: according Frec: 0 LogProb: -8.759825595314293
Palabra: accounted Frec: 0 LogProb: -8.759825595314293
Palabra: accounts Frec: 0 LogProb: -8.759825595314293
Palabra: accreditation Frec: 0 LogProb: -8.759825595314293
Palabra: accredited Frec: 0 LogProb: -8.759825595314293
Palabra: accused Frec: 0 LogProb: -8.759825595314293
Palabra: achieve Frec: 0 LogProb: -8.759825595314293
Palabra: achieved Frec: 0 LogProb: -8.759825595314293
Palabra: achievement Frec: 0 LogProb: -8.759825595314293
Palabra: acquire Frec: 0 LogProb: -8.759825595314293
Palabra: acquires Frec: 0 LogProb: -8.759825595314293
Palabra: acquisition Frec: 0 LogProb: -8.759825595314293
Palabra: across Frec: 1 LogProb: -8.06667841475435
Palabra: act Frec: 0 LogProb: -8.759825595314293
Palabra: acting Frec: 0 LogProb: -8.759825595314293
Palabra: action Frec: 0 LogProb: -8.759825595314293
Palabra: actions Frec: 0 LogProb: -8.759825595314293
Palabra: active Frec: 0 LogProb: -8.759825595314293
Palabra: activia Frec: 0 LogProb: -8.759825595314293
Palabra: activida Frec: 0 LogProb: -8.759825595314293
Palabra: activism Frec: 0 LogProb: -8.759825595314293
Palabra: activities Frec: 0 LogProb: -8.759825595314293
Palabra: activity Frec: 0 LogProb: -8.759825595314293
Palabra: actually Frec: 1 LogProb: -8.06667841475435
Palabra: ad Frec: 0 LogProb: -8.759825595314293
Palabra: adam Frec: 0 LogProb: -8.759825595314293
Palabra: add Frec: 0 LogProb: -8.759825595314293
Palabra: added Frec: 1 LogProb: -8.06667841475435
Palabra: address Frec: 0 LogProb: -8.759825595314293
Palabra: addressing Frec: 0 LogProb: -8.759825595314293
Palabra: adds Frec: 0 LogProb: -8.759825595314293
Palabra: adele Frec: 1 LogProb: -8.06667841475435
Palabra: adelson Frec: 0 LogProb: -8.759825595314293
Palabra: adhd Frec: 0 LogProb: -8.759825595314293
Palabra: adherence Frec: 0 LogProb: -8.759825595314293
Palabra: adjusted Frec: 0 LogProb: -8.759825595314293
Palabra: admin Frec: 0 LogProb: -8.759825595314293
Palabra: admit Frec: 0 LogProb: -8.759825595314293
Palabra: adnan Frec: 0 LogProb: -8.759825595314293
Palabra: adolescent Frec: 0 LogProb: -8.759825595314293
Palabra: adopt Frec: 0 LogProb: -8.759825595314293
Palabra: adoption Frec: 0 LogProb: -8.759825595314293
Palabra: adr Frec: 0 LogProb: -8.759825595314293
Palabra: adult Frec: 0 LogProb: -8.759825595314293
Palabra: adults Frec: 0 LogProb: -8.759825595314293
Palabra: advance Frec: 0 LogProb: -8.759825595314293
Palabra: advanced Frec: 0 LogProb: -8.759825595314293
Palabra: advances Frec: 0 LogProb: -8.759825595314293
Palabra: advantage Frec: 0 LogProb: -8.759825595314293
Palabra: adventure Frec: 1 LogProb: -8.06667841475435
Palabra: advertising Frec: 0 LogProb: -8.759825595314293
Palabra: advice Frec: 0 LogProb: -8.759825595314293
Palabra: advise Frec: 0 LogProb: -8.759825595314293
Palabra: adviser Frec: 0 LogProb: -8.759825595314293
Palabra: advisory Frec: 0 LogProb: -8.759825595314293
Palabra: advocate Frec: 0 LogProb: -8.759825595314293
Palabra: advocates Frec: 0 LogProb: -8.759825595314293
Palabra: ae Frec: 0 LogProb: -8.759825595314293
Palabra: aero Frec: 1 LogProb: -8.06667841475435
Palabra: aetna Frec: 0 LogProb: -8.759825595314293
Palabra: affairs Frec: 0 LogProb: -8.759825595314293
Palabra: affected Frec: 1 LogProb: -8.06667841475435
Palabra: affects Frec: 0 LogProb: -8.759825595314293
