aprendizajeI.txt: 
Numero de documentos del corpus: 859
Numero de palabras del corpus: 11118
Palabra: & Frec: 131 LogProb: -4.756980466879424
Palabra: &lt Frec: 1 LogProb: -8.94663520890585
Palabra: <unk> Frec: 0 LogProb: -9.639782389465795
Palabra: aa Frec: 0 LogProb: -9.639782389465795
Palabra: aacr Frec: 0 LogProb: -9.639782389465795
Palabra: aaron Frec: 4 LogProb: -8.030344477031695
Palabra: abandoned Frec: 0 LogProb: -9.639782389465795
Palabra: ability Frec: 0 LogProb: -9.639782389465795
Palabra: able Frec: 1 LogProb: -8.94663520890585
Palabra: about Frec: 13 LogProb: -7.000725059850537
Palabra: above Frec: 2 LogProb: -8.541170100797686
Palabra: absolutely Frec: 1 LogProb: -8.94663520890585
Palabra: abt Frec: 1 LogProb: -8.94663520890585
Palabra: academic Frec: 1 LogProb: -8.94663520890585
Palabra: academics Frec: 1 LogProb: -8.94663520890585
Palabra: academies Frec: 2 LogProb: -8.541170100797686
Palabra: accelerate Frec: 2 LogProb: -8.541170100797686
Palabra: accelerator Frec: 2 LogProb: -8.541170100797686
Palabra: accept Frec: 1 LogProb: -8.94663520890585
Palabra: accepted Frec: 0 LogProb: -9.639782389465795
Palabra: access Frec: 8 LogProb: -7.442557812129576
Palabra: accidents Frec: 1 LogProb: -8.94663520890585
Palabra: accolades Frec: 1 LogProb: -8.94663520890585
Palabra: accord Frec: 1 LogProb: -8.94663520890585
Palabra: according Frec: 1 LogProb: -8.94663520890585
Palabra: accounted Frec: 1 LogProb: -8.94663520890585
Palabra: accounts Frec: 1 LogProb: -8.94663520890585
Palabra: accreditation Frec: 0 LogProb: -9.639782389465795
Palabra: accredited Frec: 1 LogProb: -8.94663520890585
Palabra: accused Frec: 2 LogProb: -8.541170100797686
Palabra: achieve Frec: 1 LogProb: -8.94663520890585
Palabra: achieved Frec: 0 LogProb: -9.639782389465795
Palabra: achievement Frec: 4 LogProb: -8.030344477031695
Palabra: acquire Frec: 1 LogProb: -8.94663520890585
Palabra: acquires Frec: 1 LogProb: -8.94663520890585
Palabra: acquisition Frec: 2 LogProb: -8.541170100797686
Palabra: across Frec: 5 LogProb: -7.8480229202377405
Palabra: act Frec: 2 LogProb: -8.541170100797686
Palabra: acting Frec: 1 LogProb: -8.94663520890585
Palabra: action Frec: 1 LogProb: -8.94663520890585
Palabra: actions Frec: 0 LogProb: -9.639782389465795
Palabra: active Frec: 4 LogProb: -8.030344477031695
Palabra: activia Frec: 3 LogProb: -8.253488028345904
Palabra: activida Frec: 2 LogProb: -8.541170100797686
Palabra: activism Frec: 1 LogProb: -8.94663520890585
Palabra: activities Frec: 7 LogProb: -7.56034084778596
Palabra: activity Frec: 13 LogProb: -7.000725059850537
Palabra: actually Frec: 1 LogProb: -8.94663520890585
Palabra: ad Frec: 0 LogProb: -9.639782389465795
Palabra: adam Frec: 0 LogProb: -9.639782389465795
Palabra: add Frec: 3 LogProb: -8.253488028345904
Palabra: added Frec: 0 LogProb: -9.639782389465795
Palabra: address Frec: 0 LogProb: -9.639782389465795
Palabra: addressing Frec: 0 LogProb: -9.639782389465795
Palabra: adds Frec: 2 LogProb: -8.541170100797686
Palabra: adele Frec: 0 LogProb: -9.639782389465795
Palabra: adelson Frec: 1 LogProb: -8.94663520890585
Palabra: adhd Frec: 0 LogProb: -9.639782389465795
Palabra: adherence Frec: 0 LogProb: -9.639782389465795
Palabra: adjusted Frec: 1 LogProb: -8.94663520890585
Palabra: admin Frec: 1 LogProb: -8.94663520890585
Palabra: admit Frec: 1 LogProb: -8.94663520890585
Palabra: adnan Frec: 1 LogProb: -8.94663520890585
Palabra: adolescent Frec: 0 LogProb: -9.639782389465795
